ENTREZID	SYMBOL	GENENAME	logFC	logCPM	F	PValue	FDR
4288	MKI67	marker of proliferation Ki-67	1.605598691	8.032521414	40.57986098	5.18E-10	5.64E-06
9314	KLF4	Kruppel like factor 4	7.559999148	5.462714065	37.99961325	2.02E-09	1.10E-05
6696	SPP1	secreted phosphoprotein 1	8.297788757	5.784455439	46.74165299	1.14E-08	4.13E-05
10521	DDX17	DEAD-box helicase 17	-0.763882507	9.492014205	18.76332761	1.77E-05	0.048302352
10376	TUBA1B	tubulin alpha 1b	0.809695306	9.101874521	18.22744946	2.33E-05	0.050698945
529	ATP6V1E1	ATPase H+ transporting V1 subunit E1	1.831096599	6.530301538	14.24667089	0.000185575	0.327694701
64061	TSPYL2	TSPY like 2	-0.70729724	9.375598796	13.9928903	0.000253568	0.327694701
57634	EP400	E1A binding protein p400	-1.517696463	6.809338024	13.52984457	0.000262001	0.327694701
2512	FTL	ferritin light chain	0.684889734	9.122982369	13.44490812	0.000270673	0.327694701
81930	KIF18A	kinesin family member 18A	4.972309064	5.084896965	12.46625211	0.000450789	0.464552253
1981	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	-0.985873859	7.651342965	12.24620078	0.000505798	0.464552253
3925	STMN1	stathmin 1	1.299373714	6.957362503	12.17945583	0.000523791	0.464552253
8347	HIST1H2BC	histone cluster 1 H2B family member c	1.214373878	7.226440247	12.1567454	0.000554257	0.464552253
25831	HECTD1	HECT domain E3 ubiquitin protein ligase 1	-0.815205186	8.012047056	11.31537333	0.000824782	0.61521478
1508	CTSB	cathepsin B	1.298782978	6.857074188	11.26509511	0.000846937	0.61521478
57458	TMCC3	transmembrane and coiled-coil domain family 3	4.814138135	4.965341889	11.09492072	0.000926501	0.630947122
6500	SKP1	S-phase kinase associated protein 1	0.949539029	7.706586628	10.92307883	0.001045281	0.638432475
10026	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	2.851823211	6.061070188	12.11962131	0.001054679	0.638432475
79627	OGFRL1	opioid growth factor receptor like 1	2.447497967	5.648862796	10.44595101	0.001306272	0.732036924
90799	CEP95	centrosomal protein 95	-2.69921779	5.747924344	10.53906996	0.001381879	0.732036924
972	CD74	CD74 molecule	0.512135869	10.09553578	10.30090585	0.001410864	0.732036924
6166	RPL36AL	ribosomal protein L36a like	0.658790087	8.793128935	10.12850749	0.001595653	0.752803517
10625	IVNS1ABP	influenza virus NS1A binding protein	-0.599755152	9.007747127	9.964367072	0.001687567	0.752803517
10299	Mar-06	membrane associated ring-CH-type finger 6	-0.777266303	8.304612639	10.22881864	0.001721156	0.752803517
253039	PSMD5-AS1	PSMD5 antisense RNA 1 (head to head)	5.673686699	4.922870831	9.920765178	0.001727247	0.752803517
6281	S100A10	S100 calcium binding protein A10	0.65148207	8.650859542	9.70947475	0.001933404	0.810244809
8242	KDM5C	lysine demethylase 5C	-1.663059704	6.216085375	9.39823899	0.002283642	0.888776906
100130231	LINC00861	long intergenic non-protein coding RNA 861	-3.47137474	5.414152205	9.401836719	0.002298614	0.888776906
10127	ZNF263	zinc finger protein 263	-3.386682611	5.387547459	9.280618269	0.002485634	0.888776906
6228	RPS23	ribosomal protein S23	0.487886648	10.39562117	9.401134104	0.002518905	0.888776906
55718	POLR3E	RNA polymerase III subunit E	-1.751895715	6.393030551	9.678988533	0.002528642	0.888776906
915	CD3D	CD3d molecule	0.502162458	9.71724236	8.740553146	0.003251978	1
678	ZFP36L2	ZFP36 ring finger protein like 2	0.333087695	12.60103281	8.594783979	0.003520169	1
91010	FMNL3	formin like 3	-0.965004777	7.605602552	8.940415002	0.003593295	1
375248	ANKRD36	ankyrin repeat domain 36	-1.083341607	6.964049232	8.462687089	0.003781943	1
991	CDC20	cell division cycle 20	10.68070676	2.940341261	8.438013685	0.003830534	1
1635	DCTD	dCMP deaminase	2.221465983	5.841168572	8.636760701	0.003830627	1
84910	TMEM87B	transmembrane protein 87B	1.799215237	6.271480893	8.606763257	0.003940957	1
6035	RNASE1	"ribonuclease A family member 1, pancreatic"	8.316213659	3.526660039	8.358693132	0.003997341	1
10563	CXCL13	C-X-C motif chemokine ligand 13	0.969497808	7.321309688	8.327886599	0.004064604	1
8660	IRS2	insulin receptor substrate 2	0.907917381	7.332754298	8.302706311	0.00412044	1
23042	PDXDC1	pyridoxal dependent decarboxylase domain containing 1	-1.154885331	6.823068255	8.296452759	0.004134428	1
3303	HSPA1A	heat shock protein family A (Hsp70) member 1A	-0.503069276	9.608890485	8.279928939	0.004185291	1
144501	KRT80	keratin 80	-9.827027716	3.335645572	8.257252843	0.004223222	1
29068	ZBTB44	zinc finger and BTB domain containing 44	0.926313589	7.260624455	8.173951046	0.004418439	1
55789	DEPDC1B	DEP domain containing 1B	9.650818927	3.139231905	8.143600157	0.004491836	1
50854	C6orf48	chromosome 6 open reading frame 48	-0.955715109	7.238694212	8.056383554	0.004709763	1
6135	RPL11	ribosomal protein L11	0.38679658	11.01400052	7.947831146	0.004996175	1
5187	PER1	period circadian clock 1	-0.639226235	8.339151852	7.872268428	0.005206004	1
79692	ZNF322	zinc finger protein 322	8.824413385	3.626753502	7.869072438	0.005215433	1
8672	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	1.261929099	6.561519625	7.849085701	0.00527217	1
6526	SLC5A3	solute carrier family 5 member 3	-0.609880118	8.408047597	7.798601056	0.005419251	1
1678	TIMM8A	translocase of inner mitochondrial membrane 8A	10.23144349	2.90699175	7.73314785	0.005617718	1
826	CAPNS1	calpain small subunit 1	0.969944022	7.213064549	7.755612118	0.005669574	1
3122	HLA-DRA	"major histocompatibility complex, class II, DR alpha"	0.731453097	7.923630087	7.692896367	0.005935765	1
3689	ITGB2	integrin subunit beta 2	0.505159664	9.208430511	7.611233256	0.006002837	1
135228	CD109	CD109 molecule	5.983155856	5.180644188	8.021185359	0.006020719	1
85028	SNHG12	small nucleolar RNA host gene 12	-1.856149794	5.843725301	7.589861574	0.00607337	1
2771	GNAI2	G protein subunit alpha i2	-0.523524055	9.049548687	7.547829899	0.006214572	1
23230	VPS13A	vacuolar protein sorting 13 homolog A	-0.822390858	7.489097973	7.545651055	0.006221983	1
8668	EIF3I	eukaryotic translation initiation factor 3 subunit I	-2.147482437	5.713828918	7.524990402	0.006292705	1
23019	CNOT1	CCR4-NOT transcription complex subunit 1	-0.491438756	9.466928369	7.528199436	0.006311498	1
130589	GALM	galactose mutarotase	1.583701126	6.104876992	7.465544819	0.006500817	1
9324	HMGN3	high mobility group nucleosomal binding domain 3	2.099573969	5.596625825	7.430889344	0.006625382	1
378938	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	-0.224158168	15.32039379	7.435801623	0.006681498	1
22894	DIS3	"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease"	1.428862039	6.356599043	7.399468372	0.006740435	1
56900	TMEM167B	transmembrane protein 167B	1.640338029	6.101142396	7.357948102	0.006895615	1
7531	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	0.656104553	8.070824766	7.330285969	0.007001028	1
2665	GDI2	GDP dissociation inhibitor 2	0.630794066	8.166284315	7.278007171	0.007204785	1
80298	MTERF2	mitochondrial transcription termination factor 2	9.306787298	3.536405575	7.236174771	0.007372199	1
427	ASAH1	N-acylsphingosine amidohydrolase 1	2.571007957	5.340750007	7.181793827	0.007595815	1
4259	MGST3	microsomal glutathione S-transferase 3	1.642760032	6.040015071	7.178889221	0.007607953	1
6432	SRSF7	serine and arginine rich splicing factor 7	-0.502881461	9.046945253	7.134041029	0.00779791	1
9922	IQSEC1	IQ motif and Sec7 domain 1	0.977835241	6.935995248	7.055937031	0.008140423	1
64215	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	1.035613049	6.793937549	7.014978602	0.008326173	1
1316	KLF6	Kruppel like factor 6	-0.351216795	11.23752309	6.995488339	0.008416086	1
953	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	0.800981868	7.492825942	6.987735562	0.008452127	1
1933	EEF1B2	eukaryotic translation elongation factor 1 beta 2	-0.822205419	7.372611361	6.96679115	0.00855029	1
999	CDH1	cadherin 1	-6.193216829	4.897182008	7.056192213	0.00875284	1
23334	SZT2	seizure threshold 2 homolog (mouse)	-1.796482186	5.839290026	6.923245244	0.008758146	1
79622	SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25	7.996562432	4.028185634	6.894500509	0.008898189	1
121506	ERP27	endoplasmic reticulum protein 27	-9.13315216	3.104961159	6.882849031	0.008955608	1
10432	RBM14	RNA binding motif protein 14	-0.945136436	7.03056544	6.87704637	0.008984345	1
54918	CMTM6	CKLF like MARVEL transmembrane domain containing 6	0.783101303	7.491182458	6.867704134	0.009030812	1
8343	HIST1H2BF	histone cluster 1 H2B family member f	0.931282682	7.02617399	6.866928107	0.009034682	1
7178	TPT1	"tumor protein, translationally-controlled 1"	0.290971617	12.77557728	6.85486136	0.009095092	1
100507347	VIM-AS1	VIM antisense RNA 1	9.394298327	3.678357152	6.781437174	0.00947173	1
1195	CLK1	CDC like kinase 1	-0.55771945	8.469111083	6.699405252	0.009911536	1
8175	SF3A2	splicing factor 3a subunit 2	-2.827399229	5.32007268	6.631362758	0.010356574	1
7398	USP1	ubiquitin specific peptidase 1	0.838020767	7.254078857	6.610902786	0.010409642	1
10066	SCAMP2	secretory carrier membrane protein 2	-2.598412948	5.632907969	6.723966735	0.010477921	1
440823	MIAT	myocardial infarction associated transcript (non-protein coding)	-0.598168775	8.18980071	6.584161401	0.010565158	1
10947	AP3M2	adaptor related protein complex 3 mu 2 subunit	-2.515302275	5.439708074	6.574152124	0.010715553	1
252983	STXBP4	syntaxin binding protein 4	-9.267976616	3.189088596	6.497205089	0.01108759	1
51646	YPEL5	yippee like 5	-0.418002776	10.0160031	6.502621173	0.011097427	1
7227	TRPS1	transcriptional repressor GATA binding 1	0.900927955	7.106288382	6.469609219	0.01126714	1
638	BIK	BCL2 interacting killer	-10.14444991	3.029583287	6.440465196	0.011444973	1
81579	PLA2G12A	phospholipase A2 group XIIA	-5.430077735	4.39109727	6.439529786	0.011448706	1
10588	MTHFS	methenyltetrahydrofolate synthetase	9.285218034	3.115066988	6.410999527	0.011634033	1
2355	FOSL2	"FOS like 2, AP-1 transcription factor subunit"	-0.523265064	8.780276695	6.405166398	0.011788545	1
23594	ORC6	origin recognition complex subunit 6	8.869779644	2.875522256	6.378266944	0.011845572	1
5575	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta	9.194925468	2.79996984	6.336393296	0.01212725	1
9792	SERTAD2	SERTA domain containing 2	-0.863304043	7.14964285	6.325094716	0.012201509	1
55071	C9orf40	chromosome 9 open reading frame 40	8.69383133	3.551550737	6.317761656	0.012251454	1
1233	CCR4	C-C motif chemokine receptor 4	-1.367296156	6.406555331	6.363107626	0.012313642	1
6362	CCL18	C-C motif chemokine ligand 18	3.649640096	5.00582695	6.299479532	0.012386521	1
