SYMBOL	ENTREZID	GENENAME	469Siglec9minus	469Siglec9plus	474Siglec9minus	474Siglec9plus	475Siglec9minus	475Siglec9plus	477Siglec9minus	477Siglec9plus	483Siglec9minus	483Siglec9plus	485Siglec9minus	485Siglec9plus
A1BG	1	alpha-1-B glycoprotein	0	24	198	0	277	1	0	0	552	0	0	0
A1BG-AS1	503538	A1BG antisense RNA 1	0	1	49	42	0	0	833	165	2	0	0	0
A1CF	29974	APOBEC1 complementation factor	0	0	0	0	0	0	0	0	0	0	0	0
A2M	2	alpha-2-macroglobulin	464	373	0	89	12	19	0	162	493	0	2	4
A2M-AS1	144571	A2M antisense RNA 1 (head to head)	1310	1394	881	609	264	260	465	1354	6	3	1	264
A2ML1	144568	alpha-2-macroglobulin like 1	0	0	0	0	25	0	0	0	0	0	191	0
A2MP1	3	alpha-2-macroglobulin pseudogene 1	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	127550	alpha 1,3-galactosyltransferase 2	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	53947	alpha 1,4-galactosyltransferase (P blood group)	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT	51146	alpha-1,4-N-acetylglucosaminyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
AA06	100506677	uncharacterized LOC100506677	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	8086	aladin WD repeat nucleoporin	565	178	0	0	501	70	0	88	338	0	0	0
AACS	65985	acetoacetyl-CoA synthetase	157	35	0	714	108	1	402	400	0	224	161	0
AACSP1	729522	acetoacetyl-CoA synthetase pseudogene 1	1	0	0	1	0	0	0	0	0	0	0	1
AADAC	13	arylacetamide deacetylase	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	344752	arylacetamide deacetylase like 2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	101928142	AADACL2 antisense RNA 1	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	126767	arylacetamide deacetylase like 3	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	343066	arylacetamide deacetylase like 4	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	201651	arylacetamide deacetylase pseudogene 1	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	51166	aminoadipate aminotransferase	327	3	0	0	0	0	0	0	0	0	0	0
AAED1	195827	AhpC/TSA antioxidant enzyme domain containing 1	1083	944	301	425	1745	16	2	529	89	525	0	520
AAGAB	79719	alpha and gamma adaptin binding protein	438	1327	882	430	1519	145	508	717	582	2274	892	1048
AAK1	22848	AP2 associated kinase 1	8803	8295	6065	7020	10909	2241	6106	7284	5061	2216	2460	618
AAMDC	28971	adipogenesis associated Mth938 domain containing	16	0	0	5	0	183	0	0	148	0	0	0
AAMP	14	angio associated migratory cell protein	510	533	291	465	307	16	487	121	617	101	16	12
AANAT	15	aralkylamine N-acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	25980	AAR2 splicing factor homolog	236	155	231	486	164	1	496	971	138	1	435	0
AARD	441376	alanine and arginine rich domain containing protein	0	0	26	0	0	0	0	0	0	0	0	0
AARS	16	alanyl-tRNA synthetase	938	1434	409	588	391	2	34	1369	141	351	0	0
AARS2	57505	alanyl-tRNA synthetase 2, mitochondrial	395	384	558	227	51	331	396	339	394	2	0	0
AARSD1	80755	alanyl-tRNA synthetase domain containing 1	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	132949	aminoadipate-semialdehyde dehydrogenase	189	371	170	9	216	48	9	15	0	0	0	0
AASDHPPT	60496	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	431	754	736	472	0	108	698	711	463	261	79	540
AASS	10157	aminoadipate-semialdehyde synthase	1297	139	56	648	0	0	168	83	170	0	0	394
AATBC	284837	apoptosis associated transcript in bladder cancer	0	0	0	0	0	0	0	0	0	0	0	0
AATF	26574	apoptosis antagonizing transcription factor	2343	3438	4203	2673	3167	2276	4800	3697	2269	694	1494	961
AATK	9625	apoptosis associated tyrosine kinase	1	0	0	0	0	0	1	1	2	3	5	9
ABALON	103021294	apoptotic BCL2L1-antisense long non-coding RNA	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	18	4-aminobutyrate aminotransferase	386	607	556	183	81	284	106	503	255	835	4	9
ABCA1	19	ATP binding cassette subfamily A member 1	166	268	70	47	11	6	16	0	1426	860	0	345
ABCA10	10349	ATP binding cassette subfamily A member 10	0	0	0	0	0	51	0	0	0	0	0	105
ABCA11P	79963	ATP binding cassette subfamily A member 11, pseudogene	241	119	0	0	0	0	0	0	14	0	0	0
ABCA12	26154	ATP binding cassette subfamily A member 12	0	14	0	0	21	444	1	1	1	0	1	3
ABCA13	154664	ATP binding cassette subfamily A member 13	1	67	223	0	171	0	0	1	55	0	0	0
ABCA17P	650655	ATP binding cassette subfamily A member 17, pseudogene	0	1	0	0	0	0	0	100	0	0	0	0
ABCA2	20	ATP binding cassette subfamily A member 2	1450	2032	471	767	755	1018	964	1130	487	1322	2030	432
ABCA3	21	ATP binding cassette subfamily A member 3	99	72	82	13	1	5	1	275	0	0	173	1
ABCA4	24	ATP binding cassette subfamily A member 4	0	0	0	0	0	0	9	0	2	2	0	2
ABCA5	23461	ATP binding cassette subfamily A member 5	2601	829	530	641	985	854	278	1445	422	666	492	549
ABCA6	23460	ATP binding cassette subfamily A member 6	0	0	0	0	0	0	0	0	217	0	0	0
